Player	Team	Pos	G	AB	R	H	DB	TR	HR	RBI	BB	K	SB
Betts, M	BOS	RF	136	520	129	180	47	5	32	80	81	91	30
Martinez, J	BOS	LF	150	569	111	188	37	2	43	130	69	146	6
Yelich, C	MIL	RF	147	574	118	187	34	7	36	110	68	135	22
Altuve, J	HOU	2B	137	534	84	169	29	2	13	61	55	79	17
Trout, M	LAA	CF	140	471	101	147	24	4	39	79	122	124	24
Gennett, S	CIN	2B	154	584	86	181	30	3	23	92	42	125	4
Freeman, F	ATL	1B	162	618	94	191	44	4	23	98	76	132	10
Brantley, M	CLE	LF	143	570	89	176	36	2	17	76	48	60	12
Rendon, A	WSH	3B	136	529	88	163	44	2	24	92	55	82	2
Cain, L	MIL	CF	141	539	90	166	25	2	10	38	71	94	30
Zobrist, B	CHC	2B	139	455	67	139	28	3	9	58	55	60	3
Martinez, J	STL	RF	152	534	64	163	30	0	17	83	49	104	0
Merrifield, W	KC	2B	158	632	88	192	43	3	12	60	61	114	45
Segura, J	SEA	SS	144	586	91	178	29	3	10	63	32	69	20
Wendle, J	TB	2B	139	487	62	146	33	6	7	61	37	96	16
Dickerson, C	PIT	LF	135	504	65	151	35	7	13	55	21	80	8
Castellanos, N	DET	RF	157	620	88	185	46	5	23	89	49	151	2
Machado, M	LAD	SS	162	632	84	188	35	3	37	107	70	104	14
Markakis, N	ATL	RF	162	623	78	185	43	2	14	93	72	80	1
Andujar, M	NYY	3B	149	573	83	170	47	2	27	92	25	97	2
Arenado, N	COL	3B	156	590	104	175	38	2	38	110	73	122	2
Smith, M	TB	CF	141	480	65	142	27	10	2	40	47	98	40
Duffy, M	TB	3B	132	503	59	148	22	1	4	44	47	93	12
Peralta, D	ARI	LF	146	560	75	164	25	5	30	87	48	124	4
Simmons, A	LAA	SS	146	554	68	162	26	5	11	75	35	44	10
Story, T	COL	SS	157	598	88	174	42	6	37	108	47	168	27
Blackmon, C	COL	RF	156	626	119	182	31	7	29	70	59	134	12
Gurriel, Y	HOU	1B	136	537	70	156	33	1	13	85	23	63	5
Baez, J	CHC	SS	160	606	101	176	40	9	34	111	29	167	21
Benintendi, A	BOS	LF	148	579	103	168	41	6	16	87	71	106	21
Goldschmidt, P	ARI	1B	158	593	95	172	35	5	33	83	90	173	7
Kemp, M	LAD	LF	146	462	62	134	25	0	21	85	36	115	0
Bogaerts, X	BOS	SS	136	513	72	148	45	3	23	103	55	102	8
Rosario, E	MIN	LF	138	559	87	161	31	2	24	77	30	104	8
Peraza, J	CIN	2B	157	632	85	182	31	4	14	58	29	75	23
Bregman, A	HOU	3B	157	594	105	170	51	1	31	103	96	85	10
Haniger, M	SEA	RF	157	596	90	170	38	4	26	93	70	148	8
Votto, J	CIN	1B	145	503	67	143	28	2	12	67	108	101	2
Suarez, E	CIN	3B	143	527	79	149	22	2	34	104	64	142	1
Rizzo, A	CHC	1B	153	566	74	160	29	1	25	101	70	80	6
Mauer, J	MIN	1B	127	486	64	137	27	1	6	48	51	86	0
